Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
49.224069;127.069225;0.521116;0.604231;-0.602779
311.782555;48.222596;0.496890;-0.556082;0.666238
139.882070;85.502811;-0.762365;0.642379;0.078410
178.433649;116.062841;-0.897977;0.024555;-0.439357
103.310204;95.766818;-0.229058;0.968213;-0.100480
77.664505;62.522472;0.189536;0.866710;0.461401
205.000427;76.826837;-0.882456;-0.411504;0.227895
339.106300;128.020682;0.735986;-0.280953;-0.615946
297.128187;64.246504;0.410691;-0.801588;0.434500
200.996229;88.863674;-0.933420;-0.358236;0.019831
239.848740;144.823826;-0.289362;-0.498149;-0.817385
167.930054;149.010296;-0.503502;0.107665;-0.857260
64.428174;150.537025;0.212308;0.443681;-0.870674
168.500251;160.756102;-0.322974;0.065708;-0.944124
191.419953;105.471474;-0.944683;-0.190824;-0.266759
