Particle_Type;Detector_X;Detector_Y;Detector_Z;Dir_X;Dir_Y;Dir_Z;Track_Length;Time
neutron;-1.250000;-0.250000;-0.250000;-0.386594;-0.779568;0.492766;0.875345;4.649041
neutron;-1.250000;-0.250000;0.250000;-0.386594;-0.779568;0.492766;0.956778;4.649041
neutron;-1.250000;-0.250000;0.750000;-0.386594;-0.779568;0.492766;0.956778;4.649041
neutron;-1.250000;-0.250000;1.250000;-0.386594;-0.779568;0.492766;0.956778;4.649041
neutron;-1.250000;0.250000;-0.250000;-0.386594;-0.779568;0.492766;0.315398;4.649041
neutron;-1.250000;0.250000;0.250000;-0.386594;-0.779568;0.492766;0.315398;4.649041
neutron;-1.250000;0.250000;0.750000;-0.386594;-0.779568;0.492766;0.315398;4.649041
neutron;-1.250000;0.250000;1.250000;-0.386594;-0.779568;0.492766;0.315398;4.649041
neutron;-0.750000;-0.250000;1.250000;-0.386594;-0.779568;0.492766;1.096112;4.556152
neutron;-0.750000;0.250000;1.250000;-0.386594;-0.779568;0.492766;0.454731;4.556152
neutron;-0.250000;-0.250000;1.250000;-0.386594;-0.779568;0.492766;1.096112;4.556152
neutron;-0.250000;0.250000;1.250000;-0.386594;-0.779568;0.492766;0.454731;4.556152
neutron;0.250000;-0.250000;1.250000;-0.386594;-0.779568;0.492766;1.096112;4.556152
neutron;0.250000;0.250000;1.250000;-0.386594;-0.779568;0.492766;0.454731;4.556152
neutron;0.750000;-0.250000;1.250000;-0.386594;-0.779568;0.492766;0.139334;4.556152
neutron;0.750000;0.250000;1.250000;-0.386594;-0.779568;0.492766;0.139334;4.556152
neutron;-0.250000;-0.250000;1.250000;0.714114;-0.233641;0.659889;0.671402;4.022640
neutron;-0.250000;0.250000;1.250000;0.714114;-0.233641;0.659889;0.671402;4.022640
neutron;-0.250000;0.750000;1.250000;0.714114;-0.233641;0.659889;0.671402;4.022640
neutron;0.250000;-0.250000;1.250000;0.714114;-0.233641;0.659889;1.371571;4.022640
neutron;0.250000;0.250000;1.250000;0.714114;-0.233641;0.659889;1.371571;4.022640
neutron;0.250000;0.750000;1.250000;0.714114;-0.233641;0.659889;0.691167;4.022640
neutron;0.750000;-0.250000;1.250000;0.714114;-0.233641;0.659889;2.071739;4.022640
neutron;0.750000;0.250000;1.250000;0.714114;-0.233641;0.659889;2.071739;4.022640
neutron;0.750000;0.750000;1.250000;0.714114;-0.233641;0.659889;0.691167;4.022640
neutron;1.250000;-0.250000;-0.750000;0.714114;-0.233641;0.659889;0.028767;4.003462
neutron;1.250000;-0.250000;-0.250000;0.714114;-0.233641;0.659889;0.786470;4.003462
neutron;1.250000;-0.250000;0.250000;0.714114;-0.233641;0.659889;1.544173;4.003462
neutron;1.250000;-0.250000;0.750000;0.714114;-0.233641;0.659889;2.301876;4.003462
neutron;1.250000;-0.250000;1.250000;0.714114;-0.233641;0.659889;2.771908;4.022640
neutron;1.250000;0.250000;-0.750000;0.714114;-0.233641;0.659889;0.028767;4.003462
neutron;1.250000;0.250000;-0.250000;0.714114;-0.233641;0.659889;0.786470;4.003462
neutron;1.250000;0.250000;0.250000;0.714114;-0.233641;0.659889;1.544173;4.003462
neutron;1.250000;0.250000;0.750000;0.714114;-0.233641;0.659889;2.301876;4.003462
neutron;1.250000;0.250000;1.250000;0.714114;-0.233641;0.659889;2.771908;4.022640
neutron;1.250000;0.750000;-0.750000;0.714114;-0.233641;0.659889;0.028767;4.003462
neutron;1.250000;0.750000;-0.250000;0.714114;-0.233641;0.659889;0.719934;4.003462
neutron;1.250000;0.750000;0.250000;0.714114;-0.233641;0.659889;0.719934;4.003462
neutron;1.250000;0.750000;0.750000;0.714114;-0.233641;0.659889;0.719934;4.003462
neutron;1.250000;0.750000;1.250000;0.714114;-0.233641;0.659889;0.691167;4.022640
neutron;-1.250000;-0.250000;-1.250000;-0.668692;0.094196;-0.737549;2.676780;2.971137
neutron;-1.250000;-0.250000;-0.750000;-0.668692;0.094196;-0.737549;1.998859;2.971137
neutron;-1.250000;-0.250000;-0.250000;-0.668692;0.094196;-0.737549;1.320938;2.971137
neutron;-1.250000;-0.250000;0.250000;-0.668692;0.094196;-0.737549;0.643017;2.971137
neutron;-1.250000;0.250000;-1.250000;-0.668692;0.094196;-0.737549;2.676780;2.971137
neutron;-1.250000;0.250000;-0.750000;-0.668692;0.094196;-0.737549;1.998859;2.971137
neutron;-1.250000;0.250000;-0.250000;-0.668692;0.094196;-0.737549;1.320938;2.971137
neutron;-1.250000;0.250000;0.250000;-0.668692;0.094196;-0.737549;0.643017;2.971137
neutron;-1.250000;0.750000;-1.250000;-0.668692;0.094196;-0.737549;2.676780;2.971137
neutron;-1.250000;0.750000;-0.750000;-0.668692;0.094196;-0.737549;1.998859;2.971137
neutron;-1.250000;0.750000;-0.250000;-0.668692;0.094196;-0.737549;1.320938;2.971137
neutron;-1.250000;0.750000;0.250000;-0.668692;0.094196;-0.737549;0.643017;2.971137
neutron;-1.250000;1.250000;-1.250000;-0.668692;0.094196;-0.737549;0.396594;4.491261
neutron;-0.750000;-0.250000;-1.250000;-0.668692;0.094196;-0.737549;2.278091;2.947868
neutron;-0.750000;0.250000;-1.250000;-0.668692;0.094196;-0.737549;2.278091;2.947868
neutron;-0.750000;0.750000;-1.250000;-0.668692;0.094196;-0.737549;2.278091;2.947868
neutron;-0.250000;-0.250000;-1.250000;-0.668692;0.094196;-0.737549;1.530362;2.947868
neutron;-0.250000;0.250000;-1.250000;-0.668692;0.094196;-0.737549;1.530362;2.947868
neutron;-0.250000;0.750000;-1.250000;-0.668692;0.094196;-0.737549;1.530362;2.947868
neutron;0.250000;-0.250000;-1.250000;-0.668692;0.094196;-0.737549;0.782633;2.947868
neutron;0.250000;0.250000;-1.250000;-0.668692;0.094196;-0.737549;0.782633;2.947868
neutron;0.250000;0.750000;-1.250000;-0.668692;0.094196;-0.737549;0.782633;2.947868
neutron;0.750000;-0.250000;-1.250000;-0.668692;0.094196;-0.737549;0.034904;2.947868
neutron;0.750000;0.250000;-1.250000;-0.668692;0.094196;-0.737549;0.034904;2.947868
neutron;0.750000;0.750000;-1.250000;-0.668692;0.094196;-0.737549;0.034904;2.947868
neutron;-1.250000;-0.250000;-1.250000;-0.833536;-0.540935;-0.112276;0.084157;3.521399
neutron;-1.250000;-0.250000;-0.750000;-0.833536;-0.540935;-0.112276;2.010885;2.236915
neutron;-1.250000;-0.250000;-0.250000;-0.833536;-0.540935;-0.112276;2.010885;2.236915
neutron;-1.250000;-0.250000;0.250000;-0.833536;-0.540935;-0.112276;2.010885;2.236915
neutron;-1.250000;-0.250000;0.750000;-0.833536;-0.540935;-0.112276;1.926727;2.236915
neutron;-1.250000;0.250000;-0.750000;-0.833536;-0.540935;-0.112276;1.086560;2.236915
neutron;-1.250000;0.250000;-0.250000;-0.833536;-0.540935;-0.112276;1.086560;2.236915
neutron;-1.250000;0.250000;0.250000;-0.833536;-0.540935;-0.112276;1.086560;2.236915
neutron;-1.250000;0.250000;0.750000;-0.833536;-0.540935;-0.112276;1.086560;2.236915
neutron;-1.250000;0.750000;-0.750000;-0.833536;-0.540935;-0.112276;0.162235;2.236915
neutron;-1.250000;0.750000;-0.250000;-0.833536;-0.540935;-0.112276;0.162235;2.236915
neutron;-1.250000;0.750000;0.250000;-0.833536;-0.540935;-0.112276;0.162235;2.236915
neutron;-1.250000;0.750000;0.750000;-0.833536;-0.540935;-0.112276;0.162235;2.236915
neutron;-1.250000;-0.250000;-0.750000;-0.869048;-0.260462;0.420613;0.306700;0.191781
neutron;-1.250000;-0.250000;-0.250000;-0.869048;-0.260462;0.420613;1.495441;0.191781
neutron;-1.250000;-0.250000;0.250000;-0.869048;-0.260462;0.420613;2.301369;0.191781
neutron;-1.250000;-0.250000;0.750000;-0.869048;-0.260462;0.420613;2.301369;0.191781
neutron;-1.250000;-0.250000;1.250000;-0.869048;-0.260462;0.420613;1.994670;0.396247
neutron;-1.250000;0.250000;-0.750000;-0.869048;-0.260462;0.420613;0.306700;0.191781
neutron;-1.250000;0.250000;-0.250000;-0.869048;-0.260462;0.420613;1.495441;0.191781
neutron;-1.250000;0.250000;0.250000;-0.869048;-0.260462;0.420613;2.301369;0.191781
neutron;-1.250000;0.250000;0.750000;-0.869048;-0.260462;0.420613;2.301369;0.191781
neutron;-1.250000;0.250000;1.250000;-0.869048;-0.260462;0.420613;1.994670;0.396247
neutron;-1.250000;0.750000;-0.750000;-0.869048;-0.260462;0.420613;0.306700;0.191781
neutron;-1.250000;0.750000;-0.250000;-0.869048;-0.260462;0.420613;0.672161;0.191781
neutron;-1.250000;0.750000;0.250000;-0.869048;-0.260462;0.420613;0.672161;0.191781
neutron;-1.250000;0.750000;0.750000;-0.869048;-0.260462;0.420613;0.672161;0.191781
neutron;-1.250000;0.750000;1.250000;-0.869048;-0.260462;0.420613;0.365461;0.396247
neutron;-0.750000;-0.250000;1.250000;-0.869048;-0.260462;0.420613;1.419327;0.396247
neutron;-0.750000;0.250000;1.250000;-0.869048;-0.260462;0.420613;1.419327;0.396247
neutron;-0.750000;0.750000;1.250000;-0.869048;-0.260462;0.420613;0.365461;0.396247
neutron;-0.250000;-0.250000;1.250000;-0.869048;-0.260462;0.420613;0.843985;0.396247
neutron;-0.250000;0.250000;1.250000;-0.869048;-0.260462;0.420613;0.843985;0.396247
neutron;-0.250000;0.750000;1.250000;-0.869048;-0.260462;0.420613;0.365461;0.396247
neutron;0.250000;-0.250000;1.250000;-0.869048;-0.260462;0.420613;0.268643;0.396247
neutron;0.250000;0.250000;1.250000;-0.869048;-0.260462;0.420613;0.268643;0.396247
neutron;0.250000;0.750000;1.250000;-0.869048;-0.260462;0.420613;0.268643;0.396247
neutron;-0.750000;-0.250000;1.250000;0.477183;0.059752;0.876770;0.238771;0.190092
neutron;-0.750000;0.250000;1.250000;0.477183;0.059752;0.876770;0.238771;0.190092
neutron;-0.750000;0.750000;1.250000;0.477183;0.059752;0.876770;0.238771;0.190092
neutron;-0.250000;-0.250000;1.250000;0.477183;0.059752;0.876770;1.286588;0.190092
neutron;-0.250000;0.250000;1.250000;0.477183;0.059752;0.876770;1.286588;0.190092
neutron;-0.250000;0.750000;1.250000;0.477183;0.059752;0.876770;1.286588;0.190092
neutron;0.250000;-0.250000;1.250000;0.477183;0.059752;0.876770;2.281099;0.190092
neutron;0.250000;0.250000;1.250000;0.477183;0.059752;0.876770;2.281099;0.190092
neutron;0.250000;0.750000;1.250000;0.477183;0.059752;0.876770;2.281099;0.190092
neutron;0.750000;-0.250000;1.250000;0.477183;0.059752;0.876770;2.281099;0.190092
neutron;0.750000;0.250000;1.250000;0.477183;0.059752;0.876770;2.281099;0.190092
neutron;0.750000;0.750000;1.250000;0.477183;0.059752;0.876770;2.281099;0.190092
neutron;1.250000;-0.250000;-0.250000;0.477183;0.059752;0.876770;0.331504;0.349272
neutron;1.250000;-0.250000;0.250000;0.477183;0.059752;0.876770;0.901778;0.349272
neutron;1.250000;-0.250000;0.750000;0.477183;0.059752;0.876770;1.472053;0.349272
neutron;1.250000;-0.250000;1.250000;0.477183;0.059752;0.876770;2.042328;0.349272
neutron;1.250000;0.250000;-0.250000;0.477183;0.059752;0.876770;0.331504;0.349272
neutron;1.250000;0.250000;0.250000;0.477183;0.059752;0.876770;0.901778;0.349272
neutron;1.250000;0.250000;0.750000;0.477183;0.059752;0.876770;1.472053;0.349272
neutron;1.250000;0.250000;1.250000;0.477183;0.059752;0.876770;2.042328;0.349272
neutron;1.250000;0.750000;-0.250000;0.477183;0.059752;0.876770;0.331504;0.349272
neutron;1.250000;0.750000;0.250000;0.477183;0.059752;0.876770;0.901778;0.349272
neutron;1.250000;0.750000;0.750000;0.477183;0.059752;0.876770;1.472053;0.349272
neutron;1.250000;0.750000;1.250000;0.477183;0.059752;0.876770;2.042328;0.349272
neutron;-1.250000;-0.250000;-0.250000;-0.418009;-0.194630;0.887349;0.247142;10.834006
neutron;-1.250000;-0.250000;0.250000;-0.418009;-0.194630;0.887349;0.810618;10.834006
neutron;-1.250000;-0.250000;0.750000;-0.418009;-0.194630;0.887349;1.374095;10.834006
neutron;-1.250000;-0.250000;1.250000;-0.418009;-0.194630;0.887349;1.937571;10.834006
neutron;-1.250000;0.250000;-0.250000;-0.418009;-0.194630;0.887349;0.247142;10.834006
neutron;-1.250000;0.250000;0.250000;-0.418009;-0.194630;0.887349;0.810618;10.834006
neutron;-1.250000;0.250000;0.750000;-0.418009;-0.194630;0.887349;1.374095;10.834006
neutron;-1.250000;0.250000;1.250000;-0.418009;-0.194630;0.887349;1.937571;10.834006
neutron;-1.250000;0.750000;-0.250000;-0.418009;-0.194630;0.887349;0.247142;10.834006
neutron;-1.250000;0.750000;0.250000;-0.418009;-0.194630;0.887349;0.686416;10.834006
neutron;-1.250000;0.750000;0.750000;-0.418009;-0.194630;0.887349;0.686416;10.834006
neutron;-1.250000;0.750000;1.250000;-0.418009;-0.194630;0.887349;0.686416;10.834006
neutron;-0.750000;-0.250000;1.250000;-0.418009;-0.194630;0.887349;2.253906;10.623117
neutron;-0.750000;0.250000;1.250000;-0.418009;-0.194630;0.887349;2.253906;10.623117
neutron;-0.750000;0.750000;1.250000;-0.418009;-0.194630;0.887349;1.002751;10.623117
neutron;-0.250000;-0.250000;1.250000;-0.418009;-0.194630;0.887349;2.253906;10.623117
neutron;-0.250000;0.250000;1.250000;-0.418009;-0.194630;0.887349;2.253906;10.623117
neutron;-0.250000;0.750000;1.250000;-0.418009;-0.194630;0.887349;1.002751;10.623117
neutron;0.250000;-0.250000;1.250000;-0.418009;-0.194630;0.887349;1.512480;10.623117
neutron;0.250000;0.250000;1.250000;-0.418009;-0.194630;0.887349;1.512480;10.623117
neutron;0.250000;0.750000;1.250000;-0.418009;-0.194630;0.887349;1.002751;10.623117
neutron;0.750000;-0.250000;1.250000;-0.418009;-0.194630;0.887349;0.316335;10.623117
neutron;0.750000;0.250000;1.250000;-0.418009;-0.194630;0.887349;0.316335;10.623117
neutron;0.750000;0.750000;1.250000;-0.418009;-0.194630;0.887349;0.316335;10.623117
neutron;-0.750000;-0.250000;-1.250000;0.181649;0.895461;-0.406390;0.222384;0.410115
neutron;-0.750000;0.250000;-1.250000;0.181649;0.895461;-0.406390;0.761109;0.410115
neutron;-0.750000;0.750000;-1.250000;0.181649;0.895461;-0.406390;0.761109;0.410115
neutron;-0.750000;1.250000;-1.250000;0.181649;0.895461;-0.406390;0.761109;0.410115
