Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-1.250000;-0.250000;-0.250000;4.649041;neutron;0.875345
-1.250000;-0.250000;-0.250000;2.971137;neutron;1.320938
-1.250000;-0.250000;-0.250000;2.236915;neutron;2.010885
-1.250000;-0.250000;-0.250000;0.191781;neutron;1.495441
-1.250000;-0.250000;-0.250000;10.834006;neutron;0.247142
-1.250000;-0.250000;-0.250000;2.169305;neutron;0.994060
-1.250000;-0.250000;-0.250000;11.617728;alpha;2.089833
-1.250000;-0.250000;-0.250000;2.895075;alpha;0.358578
-1.250000;-0.250000;0.250000;4.649041;neutron;0.956778
-1.250000;-0.250000;0.250000;2.971137;neutron;0.643017
-1.250000;-0.250000;0.250000;2.236915;neutron;2.010885
-1.250000;-0.250000;0.250000;0.191781;neutron;2.301369
-1.250000;-0.250000;0.250000;10.834006;neutron;0.810618
-1.250000;-0.250000;0.250000;2.169305;neutron;1.886948
-1.250000;-0.250000;0.250000;11.617728;alpha;2.089833
-1.250000;-0.250000;0.250000;2.895075;alpha;0.376630
-1.250000;-0.250000;0.750000;4.649041;neutron;0.956778
-1.250000;-0.250000;0.750000;2.236915;neutron;1.926727
-1.250000;-0.250000;0.750000;0.191781;neutron;2.301369
-1.250000;-0.250000;0.750000;10.834006;neutron;1.374095
-1.250000;-0.250000;0.750000;2.169305;neutron;2.758919
-1.250000;-0.250000;0.750000;11.617728;alpha;0.653982
-1.250000;-0.250000;0.750000;2.895075;alpha;0.376630
-1.250000;-0.250000;1.250000;4.649041;neutron;0.956778
-1.250000;-0.250000;1.250000;0.396247;neutron;1.994670
-1.250000;-0.250000;1.250000;10.834006;neutron;1.937571
-1.250000;-0.250000;1.250000;2.236753;neutron;2.657747
-1.250000;-0.250000;1.250000;2.895075;alpha;0.376630
-1.250000;0.250000;-0.250000;4.649041;neutron;0.315398
-1.250000;0.250000;-0.250000;2.971137;neutron;1.320938
-1.250000;0.250000;-0.250000;2.236915;neutron;1.086560
-1.250000;0.250000;-0.250000;0.191781;neutron;1.495441
-1.250000;0.250000;-0.250000;10.834006;neutron;0.247142
-1.250000;0.250000;-0.250000;2.169305;neutron;0.994060
-1.250000;0.250000;-0.250000;11.617728;alpha;2.089833
-1.250000;0.250000;-0.250000;2.895075;alpha;0.358578
-1.250000;0.250000;0.250000;4.649041;neutron;0.315398
-1.250000;0.250000;0.250000;2.971137;neutron;0.643017
-1.250000;0.250000;0.250000;2.236915;neutron;1.086560
-1.250000;0.250000;0.250000;0.191781;neutron;2.301369
-1.250000;0.250000;0.250000;10.834006;neutron;0.810618
-1.250000;0.250000;0.250000;2.169305;neutron;1.517242
-1.250000;0.250000;0.250000;11.617728;alpha;2.089833
-1.250000;0.250000;0.250000;2.895075;alpha;1.101853
-1.250000;0.250000;0.750000;4.649041;neutron;0.315398
-1.250000;0.250000;0.750000;2.236915;neutron;1.086560
-1.250000;0.250000;0.750000;0.191781;neutron;2.301369
-1.250000;0.250000;0.750000;10.834006;neutron;1.374095
-1.250000;0.250000;0.750000;2.169305;neutron;1.517242
-1.250000;0.250000;0.750000;11.617728;alpha;0.653982
-1.250000;0.250000;0.750000;2.895075;alpha;1.131940
-1.250000;0.250000;1.250000;4.649041;neutron;0.315398
-1.250000;0.250000;1.250000;0.396247;neutron;1.994670
-1.250000;0.250000;1.250000;10.834006;neutron;1.937571
-1.250000;0.250000;1.250000;2.236753;neutron;1.416071
-1.250000;0.250000;1.250000;2.895075;alpha;1.131940
-0.750000;-0.250000;1.250000;4.556152;neutron;1.096112
-0.750000;-0.250000;1.250000;0.396247;neutron;1.419327
-0.750000;-0.250000;1.250000;0.190092;neutron;0.238771
-0.750000;-0.250000;1.250000;10.623117;neutron;2.253906
-0.750000;-0.250000;1.250000;2.236753;neutron;1.970467
-0.750000;-0.250000;1.250000;2.638611;alpha;0.761327
-0.750000;0.250000;1.250000;4.556152;neutron;0.454731
-0.750000;0.250000;1.250000;0.396247;neutron;1.419327
-0.750000;0.250000;1.250000;0.190092;neutron;0.238771
-0.750000;0.250000;1.250000;10.623117;neutron;2.253906
-0.750000;0.250000;1.250000;2.236753;neutron;1.416071
-0.750000;0.250000;1.250000;2.638611;alpha;1.516636
-0.250000;-0.250000;1.250000;4.556152;neutron;1.096112
-0.250000;-0.250000;1.250000;4.022640;neutron;0.671402
-0.250000;-0.250000;1.250000;0.396247;neutron;0.843985
-0.250000;-0.250000;1.250000;0.190092;neutron;1.286588
-0.250000;-0.250000;1.250000;10.623117;neutron;2.253906
-0.250000;-0.250000;1.250000;2.236753;neutron;1.279921
-0.250000;-0.250000;1.250000;2.638611;alpha;0.761327
-0.250000;0.250000;1.250000;4.556152;neutron;0.454731
-0.250000;0.250000;1.250000;4.022640;neutron;0.671402
-0.250000;0.250000;1.250000;0.396247;neutron;0.843985
-0.250000;0.250000;1.250000;0.190092;neutron;1.286588
-0.250000;0.250000;1.250000;10.623117;neutron;2.253906
-0.250000;0.250000;1.250000;2.236753;neutron;1.279921
-0.250000;0.250000;1.250000;2.638611;alpha;1.516636
0.250000;-0.250000;1.250000;4.556152;neutron;1.096112
0.250000;-0.250000;1.250000;4.022640;neutron;1.371571
0.250000;-0.250000;1.250000;0.396247;neutron;0.268643
0.250000;-0.250000;1.250000;0.190092;neutron;2.281099
0.250000;-0.250000;1.250000;10.623117;neutron;1.512480
0.250000;-0.250000;1.250000;2.236753;neutron;0.589375
0.250000;-0.250000;1.250000;2.638611;alpha;0.761327
0.250000;0.250000;1.250000;4.556152;neutron;0.454731
0.250000;0.250000;1.250000;4.022640;neutron;1.371571
0.250000;0.250000;1.250000;0.396247;neutron;0.268643
0.250000;0.250000;1.250000;0.190092;neutron;2.281099
0.250000;0.250000;1.250000;10.623117;neutron;1.512480
0.250000;0.250000;1.250000;2.236753;neutron;0.589375
0.250000;0.250000;1.250000;2.638611;alpha;1.516636
0.750000;-0.250000;1.250000;4.556152;neutron;0.139334
0.750000;-0.250000;1.250000;4.022640;neutron;2.071739
0.750000;-0.250000;1.250000;0.190092;neutron;2.281099
0.750000;-0.250000;1.250000;10.623117;neutron;0.316335
0.750000;-0.250000;1.250000;2.638611;alpha;0.384696
0.750000;0.250000;1.250000;4.556152;neutron;0.139334
0.750000;0.250000;1.250000;4.022640;neutron;2.071739
0.750000;0.250000;1.250000;0.190092;neutron;2.281099
0.750000;0.250000;1.250000;10.623117;neutron;0.316335
0.750000;0.250000;1.250000;2.638611;alpha;0.384696
-0.250000;0.750000;1.250000;4.022640;neutron;0.671402
-0.250000;0.750000;1.250000;0.396247;neutron;0.365461
