Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега;Dir_X;Dir_Y;Dir_Z
-1.000000;-1.000000;-0.500000;0.000000;neutron;0.000000;-0.68;0.70;-0.24
-1.000000;-1.000000;-0.500000;0.000000;neutron;0.587151;-0.21;-0.48;0.85
-1.000000;-1.000000;-0.500000;0.282174;neutron;0.000000;0.28;-0.71;0.64
-1.000000;-1.000000;-0.500000;0.000000;neutron;0.000000;-0.67;0.53;0.52
-1.000000;-1.000000;-0.500000;0.294607;neutron;0.000000;-0.10;0.67;-0.73
-1.000000;-1.000000;-0.500000;5.762137;neutron;0.000000;0.62;-0.63;-0.46
-1.000000;-1.000000;-0.500000;1.002961;neutron;0.000000;0.36;-0.63;0.69
-1.000000;-1.000000;-0.500000;1.378743;neutron;0.000000;0.18;-0.40;-0.90
-1.000000;-1.000000;-0.500000;0.000000;alpha;0.000000;0.87;-0.44;-0.23
-1.000000;-1.000000;-0.500000;1.798788;alpha;0.000000;0.14;-0.16;0.98
-1.000000;-1.000000;-0.500000;0.000000;alpha;0.000000;-0.22;0.56;0.80
-1.000000;-1.000000;-0.500000;0.000000;alpha;0.000000;-0.74;0.55;0.39
-1.000000;-1.000000;-0.500000;6.008246;neutron;0.000000;-0.60;0.49;-0.63
-1.000000;-1.000000;-0.500000;8.343882;neutron;0.000000;-0.95;0.31;0.02
-1.000000;-1.000000;-0.500000;0.100000;neutron;0.000000;-0.43;0.90;-0.09
-1.000000;-1.000000;-0.500000;0.100000;neutron;0.590076;-0.19;-0.50;0.85
-1.000000;-1.000000;-0.500000;0.100000;neutron;0.000000;0.30;-0.05;-0.95
-1.000000;-1.000000;-0.500000;0.100000;neutron;0.000000;-0.60;0.33;-0.73
-1.000000;-1.000000;-0.500000;0.100000;neutron;2.296839;-0.87;-0.48;0.11
-1.000000;-1.000000;-0.500000;0.615973;alpha;0.000000;0.27;-0.46;-0.84
-1.000000;-1.000000;-0.500000;0.100000;alpha;0.000000;0.46;-0.19;-0.87
-1.000000;-1.000000;-0.500000;0.100000;alpha;0.000000;-0.55;0.52;-0.65
-1.000000;-1.000000;-0.500000;1.883107;alpha;0.000000;0.15;-0.38;-0.91
-1.000000;-1.000000;-0.500000;9.644734;neutron;0.000000;-0.16;0.56;-0.81
-1.000000;-1.000000;-0.500000;0.200000;neutron;2.022342;-0.05;-0.99;-0.14
-1.000000;-1.000000;-0.500000;0.200000;neutron;0.000000;0.06;-0.58;0.82
-1.000000;-1.000000;-0.500000;4.257895;neutron;1.829323;-0.44;-0.36;-0.82
-1.000000;-1.000000;-0.500000;0.200000;neutron;0.000000;-0.12;0.42;-0.90
-1.000000;-1.000000;-0.500000;0.200000;neutron;0.000000;-0.63;0.09;0.77
-1.000000;-1.000000;-0.500000;9.176876;neutron;0.000000;-0.42;0.36;-0.83
-1.000000;-1.000000;-0.500000;7.360783;alpha;0.000000;0.55;-0.81;0.20
-1.000000;-1.000000;-0.500000;5.886484;alpha;0.000000;0.53;-0.73;-0.44
-1.000000;-1.000000;-0.500000;0.200000;alpha;2.818102;-0.68;-0.71;-0.19
-1.000000;-1.000000;-0.500000;4.653609;alpha;0.000000;-0.17;0.87;-0.46
-1.000000;-1.000000;-0.500000;0.300000;neutron;0.000000;-0.07;1.00;-0.02
-1.000000;-1.000000;-0.500000;5.582600;neutron;0.000000;-0.30;0.46;-0.83
-1.000000;-1.000000;-0.500000;3.068352;neutron;0.000000;-0.87;0.49;-0.07
-1.000000;-1.000000;-0.500000;9.119759;neutron;0.000000;-0.21;0.71;-0.67
-1.000000;-1.000000;-0.500000;1.845467;neutron;2.046714;-0.57;-0.37;-0.73
-1.000000;-1.000000;-0.500000;0.300000;neutron;0.000000;0.75;-0.62;0.21
-1.000000;-1.000000;-0.500000;0.582078;neutron;2.270146;-0.88;-0.46;-0.10
-1.000000;-1.000000;-0.500000;0.300000;neutron;0.000000;0.34;-0.31;0.89
-1.000000;-1.000000;-0.500000;0.300000;alpha;1.997440;-0.04;-0.66;-0.75
-1.000000;-1.000000;-0.500000;0.300000;alpha;0.000000;0.79;-0.07;0.61
-1.000000;-1.000000;-0.500000;6.599276;alpha;0.000000;0.14;-0.58;0.81
-1.000000;-1.000000;-0.500000;5.293348;alpha;0.000000;0.31;-0.75;0.59
-1.000000;-1.000000;-0.500000;0.300000;alpha;1.672572;-0.22;-0.38;-0.90
-1.000000;-1.000000;-0.500000;0.400000;neutron;0.000000;-0.55;0.54;-0.64
-1.000000;-1.000000;-0.500000;0.400000;neutron;0.000000;0.35;-0.93;0.11
-1.000000;-1.000000;-0.500000;0.400000;neutron;2.735805;-0.57;-0.73;-0.38
-1.000000;-1.000000;-0.500000;4.698001;neutron;2.326192;-0.51;-0.86;-0.06
-1.000000;-1.000000;-0.500000;0.400000;neutron;0.000000;-0.02;0.72;-0.70
-1.000000;-1.000000;-0.500000;0.400000;neutron;1.545888;-0.07;-0.23;-0.97
-1.000000;-1.000000;-0.500000;3.535601;neutron;1.981184;-0.39;-0.52;-0.76
-1.000000;-1.000000;-0.500000;6.191433;neutron;0.000000;-0.62;0.41;-0.67
-1.000000;-1.000000;-0.500000;0.400000;neutron;2.564590;-0.78;-0.62;-0.06
-1.000000;-1.000000;-0.500000;6.326386;alpha;2.239332;-0.89;-0.44;0.09
-1.000000;-1.000000;-0.500000;0.400000;alpha;0.000000;-0.66;0.26;-0.71
-1.000000;-1.000000;-0.500000;5.894065;alpha;2.427203;-0.82;-0.48;-0.31
-1.000000;-1.000000;-0.500000;4.321690;alpha;0.000000;-0.86;0.16;-0.49
-1.000000;-1.000000;-0.500000;0.400000;alpha;0.000000;-0.58;0.19;0.79
-1.000000;-1.000000;-0.500000;10.429834;neutron;0.000000;-0.67;0.21;-0.72
-1.000000;-1.000000;-0.500000;2.743176;neutron;0.000000;0.97;-0.03;0.24
-1.000000;-1.000000;-0.500000;0.500000;neutron;0.000000;-0.35;0.64;0.68
-1.000000;-1.000000;-0.500000;5.777265;neutron;0.000000;0.21;-0.98;-0.06
-1.000000;-1.000000;-0.500000;1.984858;neutron;0.000000;0.08;-0.43;-0.90
-1.000000;-1.000000;-0.500000;3.821008;alpha;1.280636;-0.77;-0.50;0.39
-1.000000;-1.000000;-0.500000;3.603429;alpha;0.000000;0.24;-0.96;-0.14
-1.000000;-1.000000;-0.500000;0.500000;alpha;1.572257;-0.15;-0.94;0.32
-1.000000;-1.000000;-0.500000;0.500000;alpha;0.000000;0.81;-0.14;0.57
-1.000000;-1.000000;-0.500000;0.600000;neutron;0.000000;0.05;-0.44;-0.90
-1.000000;-1.000000;-0.500000;0.600000;neutron;1.747061;-0.15;-0.49;-0.86
-1.000000;-1.000000;-0.500000;4.155700;neutron;0.000000;-0.28;0.95;0.09
-1.000000;-1.000000;-0.500000;1.260324;neutron;0.000000;0.25;-0.40;-0.88
-1.000000;-1.000000;-0.500000;2.798258;neutron;0.000000;-0.01;0.70;-0.71
-1.000000;-1.000000;-0.500000;0.600000;neutron;0.000000;0.29;-0.85;-0.44
-1.000000;-1.000000;-0.500000;3.788532;neutron;0.000000;-0.14;0.98;0.11
-1.000000;-1.000000;-0.500000;6.962946;alpha;0.000000;-0.62;0.02;0.78
-1.000000;-1.000000;-0.500000;8.396900;alpha;0.000000;-0.68;0.39;0.62
-1.000000;-1.000000;-0.500000;7.043388;alpha;2.825984;-0.58;-0.61;-0.53
-1.000000;-1.000000;-0.500000;2.233940;alpha;2.434192;-0.82;-0.57;0.03
-1.000000;-1.000000;-0.500000;0.600000;alpha;1.767281;-0.19;-0.49;-0.85
-1.000000;-1.000000;-0.500000;4.861933;neutron;0.000000;0.40;-0.30;0.86
-1.000000;-1.000000;-0.500000;5.091339;neutron;0.000000;-0.06;0.08;-1.00
-1.000000;-1.000000;-0.500000;0.700000;neutron;0.000000;-0.67;0.48;0.57
-1.000000;-1.000000;-0.500000;4.438080;neutron;0.000000;0.96;-0.16;-0.22
-1.000000;-1.000000;-0.500000;5.742924;neutron;0.000000;0.57;-0.06;-0.82
-1.000000;-1.000000;-0.500000;0.700000;neutron;0.000000;-0.28;0.48;-0.83
-1.000000;-1.000000;-0.500000;6.086252;neutron;2.231773;-0.42;-0.90;-0.14
-1.000000;-1.000000;-0.500000;0.700000;neutron;0.000000;0.37;-0.20;0.91
-1.000000;-1.000000;-0.500000;0.700000;neutron;2.102901;-0.25;-0.95;0.18
-1.000000;-1.000000;-0.500000;6.108754;neutron;0.000000;0.53;-0.05;-0.84
-1.000000;-1.000000;-0.500000;0.700000;alpha;0.000000;-0.73;0.67;-0.11
-1.000000;-1.000000;-0.500000;0.700000;alpha;0.000000;0.06;-1.00;-0.06
-1.000000;-1.000000;-0.500000;9.699208;neutron;0.000000;0.21;-0.19;-0.96
-1.000000;-1.000000;-0.500000;0.800000;neutron;0.516502;-0.05;-0.25;0.97
-1.000000;-1.000000;-0.500000;0.800000;neutron;0.000000;-0.68;0.71;-0.16
-1.000000;-1.000000;-0.500000;0.800000;neutron;0.000000;0.88;-0.46;0.10
-1.000000;-1.000000;-0.500000;4.568028;neutron;0.000000;-0.75;0.66;-0.06
-1.000000;-1.000000;-0.500000;6.532188;neutron;0.000000;-0.29;0.36;0.88
-1.000000;-1.000000;-0.500000;2.632795;neutron;0.000000;-0.95;0.22;-0.24
-1.000000;-1.000000;-0.500000;3.375388;neutron;0.000000;-0.48;0.83;0.28
-1.000000;-1.000000;-0.500000;10.527816;neutron;0.000000;0.53;-0.52;-0.66
-1.000000;-1.000000;-0.500000;0.800000;alpha;2.295855;-0.47;-0.59;-0.65
-1.000000;-1.000000;-0.500000;0.800000;alpha;0.000000;0.53;-0.73;0.44
-1.000000;-1.000000;-0.500000;2.333971;alpha;0.000000;-0.28;0.92;0.28
-1.000000;-1.000000;-0.500000;0.800000;alpha;2.487426;-0.59;-0.80;0.03
-1.000000;-1.000000;-0.500000;0.800000;alpha;0.000000;0.85;-0.42;-0.33
-1.000000;-1.000000;-0.500000;0.900000;neutron;0.000000;-0.39;0.65;-0.65
-1.000000;-1.000000;-0.500000;0.900000;neutron;0.621234;-0.23;-0.55;0.80
-1.000000;-1.000000;-0.500000;3.285077;neutron;0.000000;-0.69;0.65;-0.31
-1.000000;-1.000000;-0.500000;0.900000;neutron;0.000000;0.64;-0.58;-0.51
-1.000000;-1.000000;-0.500000;0.900000;neutron;1.452390;-0.92;-0.21;0.34
-1.000000;-1.000000;-0.500000;4.946681;alpha;2.168842;-0.63;-0.36;-0.69
-1.000000;-1.000000;-0.500000;7.991890;alpha;2.006564;-0.48;-0.46;-0.75
-1.000000;-1.000000;-0.500000;0.900000;alpha;0.000000;0.53;-0.81;-0.26
-1.000000;-1.000000;-0.500000;0.900000;alpha;0.000000;0.65;-0.21;-0.73
-1.000000;-1.000000;-0.500000;9.437141;alpha;2.216255;-0.28;-0.68;-0.68
-1.000000;-1.000000;-0.500000;6.008148;neutron;0.000000;-0.13;0.85;-0.51
-1.000000;-1.000000;-0.500000;1.000000;neutron;0.563180;-0.11;-0.45;0.89
-1.000000;-1.000000;-0.500000;1.000000;neutron;0.000000;-0.64;0.65;0.41
-1.000000;-1.000000;-0.500000;2.806626;neutron;1.713869;-0.28;-0.39;-0.88
-1.000000;-1.000000;-0.500000;1.620442;neutron;0.000000;0.58;-0.64;-0.50
-1.000000;-1.000000;-0.500000;1.000000;neutron;0.546084;-0.09;-0.39;0.92
-1.000000;-1.000000;-0.500000;3.736549;neutron;0.000000;-0.51;0.81;-0.29
-1.000000;-1.000000;-0.500000;8.178051;neutron;0.000000;0.55;-0.59;-0.59
-1.000000;-1.000000;-0.500000;1.000000;neutron;0.000000;-0.82;0.05;-0.57
-1.000000;-1.000000;-0.500000;1.000000;alpha;2.466551;-0.56;-0.81;-0.16
-1.000000;-1.000000;-0.500000;7.036183;alpha;0.000000;0.66;-0.45;-0.60
-1.000000;-1.000000;-0.500000;1.036477;alpha;0.603788;-0.55;-0.10;0.83
-1.000000;-1.000000;-0.500000;1.000000;alpha;0.000000;0.09;-0.59;0.81
-1.000000;-1.000000;-0.500000;1.100000;neutron;0.000000;-0.17;0.97;-0.14
-1.000000;-1.000000;-0.500000;1.100000;neutron;0.000000;-0.04;0.88;0.48
-1.000000;-1.000000;-0.500000;8.778289;neutron;1.296121;-0.90;-0.19;0.39
-1.000000;-1.000000;-0.500000;4.694209;neutron;2.546924;-0.79;-0.42;-0.45
-1.000000;-1.000000;-0.500000;9.191930;neutron;0.000000;-0.33;0.92;-0.22
-1.000000;-1.000000;-0.500000;10.324191;neutron;0.000000;0.68;-0.36;-0.64
